date,market,note
2019-01-01,jpx,元日
2019-01-02,jpx,休業日
2019-01-03,jpx,休業日
2019-01-14,jpx,成人の日
2019-02-11,jpx,建国記念の日
2019-03-21,jpx,春分の日
2019-04-29,jpx,昭和の日
2019-04-30,jpx,退位の日・国民の休日
2019-05-01,jpx,即位の日
2019-05-02,jpx,国民の休日
2019-05-03,jpx,憲法記念日
2019-05-04,jpx,みどりの日
2019-05-05,jpx,こどもの日
2019-05-06,jpx,振替休日
2019-07-15,jpx,海の日
2019-08-11,jpx,山の日
2019-08-12,jpx,振替休日
2019-09-16,jpx,敬老の日
2019-09-23,jpx,秋分の日
2019-10-14,jpx,体育の日
2019-10-22,jpx,即位礼正殿の儀
2019-11-03,jpx,文化の日
2019-11-04,jpx,振替休日
2019-11-23,jpx,勤労感謝の日
2019-12-31,jpx,休業日
2020-01-01,jpx,元日
2020-01-02,jpx,休業日
2020-01-03,jpx,休業日
2020-01-13,jpx,成人の日
2020-02-11,jpx,建国記念の日
2020-02-23,jpx,天皇誕生日
2020-02-24,jpx,振替休日
2020-03-20,jpx,春分の日
2020-04-29,jpx,昭和の日
2020-05-03,jpx,憲法記念日
2020-05-04,jpx,みどりの日
2020-05-05,jpx,こどもの日
2020-05-06,jpx,振替休日
2020-07-23,jpx,海の日
2020-07-24,jpx,スポーツの日
2020-08-10,jpx,山の日
2020-09-21,jpx,敬老の日
2020-09-22,jpx,秋分の日
2020-11-03,jpx,文化の日
2020-11-23,jpx,勤労感謝の日
2020-12-31,jpx,休業日
